         76918 function calls (75278 primitive calls) in 0.473 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
      481    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:100(acquire)
    146/4    0.003    0.000    0.413    0.103 <frozen importlib._bootstrap>:1022(_find_and_load)
   201/16    0.004    0.000    0.395    0.025 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      481    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:125(release)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      146    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:169(__enter__)
      146    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
      481    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      145    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:198(cb)
      335    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    221/4    0.003    0.000    0.408    0.102 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1348    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      235    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
      350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      135    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  135/132    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    135/4    0.003    0.000    0.410    0.103 <frozen importlib._bootstrap>:664(_load_unlocked)
      145    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:71(__init__)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      134    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
      411    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:893(__enter__)
      411    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:897(__exit__)
      143    0.005    0.000    0.079    0.001 <frozen importlib._bootstrap>:921(_find_spec)
    146/4    0.003    0.000    0.413    0.103 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      109    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      109    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       17    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    17/12    0.000    0.000    0.028    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
     1244    0.010    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1244    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      218    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      436    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      271    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      134    0.009    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      538    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      134    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      178    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
